event,reason,step,position,entry_price,exit_price,realized_pips,cost_pips,net_pips,equity_usd,time_in_trade
CLOSE,TP_HIT,77,-1,1.115828396785859,1.103828396785859,120.0000000000001,1.0,119.0000000000001,11190.0,47
CLOSE,TP_HIT,219,-1,1.103602042821142,1.091602042821142,120.0000000000001,1.0,119.0000000000001,12380.0,141
CLOSE,TP_HIT,340,-1,1.0943804886763964,1.0823804886763964,120.0000000000001,1.0,119.0000000000001,13570.0,120
CLOSE,SL_HIT,603,-1,1.0832904925890723,1.0892904925890723,-60.00000000000005,1.0,-61.00000000000005,12960.0,262
CLOSE,TP_HIT,664,-1,1.0886079372828457,1.0766079372828457,120.0000000000001,1.0,119.0000000000001,14150.0,60
CLOSE,SL_HIT,701,-1,1.0762286621620276,1.0822286621620276,-60.00000000000005,1.0,-61.00000000000005,13540.0,36
CLOSE,TP_HIT,727,-1,1.081080512107348,1.069080512107348,120.0000000000001,1.0,119.0000000000001,14730.0,25
CLOSE,TP_HIT,796,-1,1.070891123572399,1.058891123572399,120.0000000000001,1.0,119.0000000000001,15920.0,68
CLOSE,TP_HIT,943,-1,1.0585284332320612,1.0465284332320612,120.0000000000001,1.0,119.0000000000001,17110.0,146
CLOSE,TP_HIT,959,-1,1.0487131703086878,1.0367131703086878,120.0000000000001,1.0,119.0000000000001,18300.0,15
CLOSE,SL_HIT,972,-1,1.0401725317646635,1.0461725317646635,-60.00000000000005,1.0,-61.00000000000005,17690.0,12
CLOSE,SL_HIT,1010,-1,1.0479268484342341,1.0539268484342341,-60.00000000000005,1.0,-61.00000000000005,17080.0,37
CLOSE,SL_HIT,1038,-1,1.0523727935025478,1.0583727935025478,-60.00000000000005,1.0,-61.00000000000005,16470.0,27
CLOSE,TP_HIT,1317,-1,1.0574074531789164,1.0454074531789164,120.0000000000001,1.0,119.0000000000001,17660.0,278
CLOSE,SL_HIT,1322,-1,1.045918261578731,1.051918261578731,-60.00000000000005,1.0,-61.00000000000005,17050.0,4
CLOSE,TP_HIT,1401,-1,1.0515749326780424,1.0395749326780424,120.0000000000001,1.0,119.0000000000001,18240.0,78
CLOSE,SL_HIT,1447,-1,1.037721533444709,1.043721533444709,-60.00000000000005,1.0,-61.00000000000005,17630.0,45
CLOSE,TP_HIT,1622,-1,1.042831079082056,1.030831079082056,120.0000000000001,1.0,119.0000000000001,18820.0,174
CLOSE,SL_HIT,1665,-1,1.030370932451386,1.036370932451386,-60.00000000000005,1.0,-61.00000000000005,18210.0,42
CLOSE,SL_HIT,1667,-1,1.035524120507963,1.041524120507963,-60.00000000000005,1.0,-61.00000000000005,17600.0,1
CLOSE,TP_HIT,1715,-1,1.042164447389183,1.030164447389183,120.0000000000001,1.0,119.0000000000001,18790.0,47
CLOSE,TP_HIT,1785,-1,1.029742551851711,1.017742551851711,120.0000000000001,1.0,119.0000000000001,19980.0,69
CLOSE,SL_HIT,1798,-1,1.0193119901258436,1.0253119901258436,-60.00000000000005,1.0,-61.00000000000005,19370.0,12
CLOSE,SL_HIT,1837,-1,1.0257996311920634,1.0317996311920634,-60.00000000000005,1.0,-61.00000000000005,18760.0,38
CLOSE,SL_HIT,1910,-1,1.0344339131941385,1.0404339131941385,-60.00000000000005,1.0,-61.00000000000005,18150.0,72
CLOSE,SL_HIT,2000,-1,1.0414740786356962,1.0474740786356962,-60.00000000000005,1.0,-61.00000000000005,17540.0,89
CLOSE,TP_HIT,2121,-1,1.0492937881850113,1.0372937881850113,120.0000000000001,1.0,119.0000000000001,18730.0,120
CLOSE,TP_HIT,2134,-1,1.0383254700329718,1.0263254700329718,120.0000000000001,1.0,119.0000000000001,19920.0,12
CLOSE,SL_HIT,2151,-1,1.0250614315084077,1.0310614315084077,-60.00000000000005,1.0,-61.00000000000005,19310.0,16
CLOSE,SL_AND_TP_SAME_BAR_SL_FIRST,2152,-1,1.0316000435107773,1.0321000435107772,-4.999999999999449,1.0,-5.999999999999449,19250.000000000007,0
CLOSE,SL_HIT,2157,-1,1.0275622170497931,1.0335622170497931,-60.00000000000005,1.0,-61.00000000000005,18640.000000000007,4
CLOSE,SL_HIT,2191,-1,1.0342357952030683,1.0402357952030683,-60.00000000000005,1.0,-61.00000000000005,18030.000000000007,33
CLOSE,SL_HIT,2348,-1,1.040230155638815,1.046230155638815,-60.00000000000005,1.0,-61.00000000000005,17420.000000000007,156
